partei,zh-japroz,be-japroz,lu-japroz,ur-japroz,sz-japroz,ow-japroz,nw-japroz,gl-japroz,zg-japroz,fr-japroz,so-japroz,bs-japroz,bl-japroz,sh-japroz,ar-japroz,ai-japroz,sg-japroz,gr-japroz,ag-japroz,tg-japroz,ti-japroz,vd-japroz,vs-japroz,ne-japroz,ge-japroz,ju-japroz
br-pos,10.826330935251798,10.065737410071943,10.59726618705036,7.399514388489209,6.714334532374101,9.188902877697842,10.23908273381295,9.566312949640288,11.069550359712231,9.562248201438848,9.287320143884893,9.759010791366906,9.94408273381295,8.517158273381295,9.594676258992806,9.366708633093525,9.605503597122302,11.319496402877698,9.629676258992806,10.933866906474819,8.050107913669065,10.613399280575539,7.687248201438848,9.237212230215828,9.360629496402877,7.575994832041343
bv-pos,12.113401459854016,10.353255474452556,10.441635036496349,6.855226277372263,5.759197080291971,8.91363503649635,9.383766423357665,9.826350364963504,10.747897810218978,9.469357664233577,10.088671532846716,11.28014598540146,10.468525547445257,9.696846715328467,8.681138686131387,7.806175182481751,9.354496350364963,10.792408759124088,9.18636496350365,11.262554744525549,10.040160583941606,10.73770802919708,7.4901313868613135,10.03890510948905,10.958919708029196,7.645402597402597
p-acs,3.9454545454545458,5.906363636363636,9.110000000000001,8.553636363636365,12.110909090909091,13.237272727272726,12.63,9.477272727272727,7.893636363636364,10.120909090909091,9.168181818181818,0.8845454545454549,7.34909090909091,7.6054545454545455,9.090909090909092,10.48818181818182,8.84,-0.44454545454545524,10.727272727272727,9.32181818181818,6.64909090909091,7.773636363636364,10.90181818181818,10.496363636363636,5.8127272727272725,4.315
p-bdp,11.664571428571428,10.562380952380952,12.494190476190475,9.952,10.047619047619047,11.852,12.737619047619049,9.650666666666666,13.748571428571427,11.436380952380953,10.085238095238095,10.103904761904763,10.913428571428572,7.892095238095238,9.621619047619047,10.580857142857143,10.123333333333333,12.478285714285715,10.82304761904762,9.836380952380951,8.432666666666666,13.588000000000001,11.94895238095238,11.059999999999999,10.401428571428573,8.860380952380952
p-bpuk,21.260000000000005,16.83,18.069999999999993,5.93,6.640000000000001,6.289999999999999,9.119999999999997,16.590000000000003,21.409999999999997,12.869999999999997,19.459999999999994,28.11,20.340000000000003,13.189999999999998,15.969999999999999,5.359999999999999,14.340000000000003,11.479999999999997,16.879999999999995,18.569999999999993,5.32,6.450000000000003,-30.35,17.67,7.75,12.799999999999997
p-eco,9.673715012722646,9.22557251908397,10.823715012722648,9.124605597964377,9.852748091603054,11.994834605597966,12.523562340966922,10.185419847328244,12.203358778625955,9.900788804071247,8.97030534351145,7.020330788804072,9.011145038167939,7.994071246819338,10.156819338422393,13.107888040712467,10.58412213740458,10.684223918575062,9.981399491094148,10.854274809160303,6.4491094147582695,9.837201017811704,10.58735368956743,7.60412213740458,7.67,3.5505610561056105
p-edk,,,,,,,,,,,,,,,,,,,,,,,,,,
p-edu,4.516526610644258,5.33047619047619,7.018347338935575,7.768039215686275,9.352296918767507,9.476050420168066,9.126638655462186,7.6724089635854344,6.8938935574229685,4.10515406162465,5.602829131652661,0.894313725490196,4.321344537815126,6.02532212885154,7.500672268907563,11.087619047619047,7.650812324929972,6.136218487394959,7.1776470588235295,8.524285714285714,3.911596638655462,1.9325210084033613,5.986386554621848,0.7478431372549018,0.033585434173669486,0.42428169014084527
p-endk,4.259999999999998,2.6400000000000006,6.205,-0.22500000000000142,-0.2499999999999991,2.004999999999999,2.1549999999999994,-2.4250000000000007,5.592500000000001,0.34750000000000014,1.0450000000000017,5.502500000000001,1.2550000000000008,-0.6349999999999998,-0.23499999999999943,1.237499999999999,0.8375000000000004,3.592500000000001,1.6625000000000014,-0.39000000000000057,-1.5374999999999996,0.8624999999999989,-0.4599999999999991,0.7675000000000001,3.0874999999999986,-4.4725
p-evp,9.080608519269777,8.340588235294117,7.151501014198783,5.919046653144016,2.4118052738336715,4.977768762677485,5.575760649087221,6.501886409736309,7.2817849898580125,7.353935091277891,6.6192900608519265,10.796105476673427,8.609675456389452,6.395091277890467,6.157464503042597,5.28868154158215,6.873062880324544,8.164137931034483,5.608661257606491,6.162920892494929,7.142860040567951,7.7611359026369175,4.27918864097363,7.820446247464503,9.204077079107504,6.32387012987013
p-fdk,3.316666666666667,4.561111111111111,6.2588888888888885,6.0699999999999985,2.3166666666666664,7.7700000000000005,7.452222222222222,0.6177777777777784,8.837777777777777,6.163333333333335,3.0688888888888894,6.648888888888888,4.801111111111111,2.673333333333333,0.5211111111111113,3.302222222222223,1.6111111111111112,7.084444444444443,2.3877777777777784,1.0600000000000003,3.5011111111111113,5.742222222222222,10.763333333333334,7.06,6.92111111111111,7.811111111111111
p-fdp,11.472332814930015,10.775987558320374,11.464945567651633,8.83289269051322,7.608755832037326,10.42393468118196,11.175552099533437,10.39836702954899,12.042503888024884,10.166671850699844,10.204043545878694,10.317636080870917,10.443670295489891,9.782379471228616,10.035583203732504,10.520824261275273,10.495832037325039,11.918195956454122,9.787822706065318,11.312021772939348,9.636189735614307,10.996096423017107,9.298491446345258,9.02696734059098,10.428553654743391,5.726506329113923
p-fps,2.148245614035088,2.5749473684210527,5.411649122807018,6.002140350877194,9.956912280701756,8.935087719298245,8.404947368421052,6.771824561403509,5.647578947368421,2.5333333333333328,4.460456140350877,-2.5213333333333336,2.352771929824561,4.430666666666666,5.97298245614035,10.474350877192983,5.947614035087719,3.982771929824561,6.531684210526316,7.1672631578947374,2.287298245614035,0.8882105263157895,5.981228070175439,-0.7362807017543859,-2.3935087719298247,-1.6943859649122803
p-gdk,12.825,12.45,10.2,9.995,7.890000000000001,8.68,10.41,9.61,12.805,12.26,9.775,13.11,11.985,9.095,10.0,9.61,9.82,14.005,10.28,9.565,6.555,16.335,14.37,14.11,14.32,13.62
p-gem,9.470434782608697,8.33304347826087,11.167826086956522,7.3478260869565215,7.371304347826088,8.978260869565217,11.079565217391306,6.4626086956521736,12.592173913043478,10.033913043478261,8.043478260869565,9.281304347826087,8.758695652173914,6.3713043478260865,7.725652173913043,9.78,8.237391304347828,10.868695652173914,9.031739130434783,8.141739130434782,9.14391304347826,14.18695652173913,10.60608695652174,11.721739130434784,10.947391304347827,8.345652173913043
p-glp,9.679857142857143,8.168071428571428,8.324,5.423214285714286,4.798357142857142,6.237785714285714,7.2397857142857145,5.9373571428571426,9.558285714285715,7.899214285714287,6.876785714285714,10.465857142857143,8.29657142857143,5.896285714285715,6.622071428571429,5.614285714285714,6.339285714285714,8.576642857142858,7.226571428571429,6.237571428571428,4.900428571428571,10.807714285714287,7.3206428571428575,8.820785714285714,9.9395,6.511142857142857
p-gps,2.2776704545454542,1.753153409090909,-1.4707954545454547,-2.56375,-6.191534090909091,-4.9524431818181816,-4.653977272727273,-2.3439488636363635,-2.1402272727272726,0.6612499999999999,-0.612840909090909,7.217897727272727,1.9055113636363636,-0.35261363636363646,-1.8907386363636363,-6.600454545454546,-1.973409090909091,-0.25321022727272724,-2.4650568181818184,-3.3916477272727277,1.3007102272727271,3.168011363636364,-3.029346590909091,4.097017045454546,6.652727272727272,4.555511363636364
p-kdk,10.618076923076924,8.9,10.21653846153846,5.699999999999999,1.283076923076924,6.266923076923077,6.879615384615385,3.1599999999999997,9.70076923076923,10.403461538461539,7.257692307692308,13.741923076923078,8.87923076923077,5.527307692307692,6.308846153846153,4.603076923076923,6.375,9.108076923076924,6.906153846153846,5.803076923076923,4.713461538461538,14.038076923076924,8.77423076923077,13.678846153846154,12.325,10.631153846153845
