anr,jahr,legisjahr,jahrzehnt,5_jahre,titel_kurz_d,rechtsform_name,rechtsform,anzahl,beteiligung,annahme,berecht,stimmen,gultig,leer,volkja-proz,sammeltempo,hauptgruppe,untergruppe,kleinstgruppe,br-pos_label,sr-pos_label,nr-pos_label,bv-pos_label,srja,srnein,nrja,nrnein,p-fdp_label,p-sps_label,p-svp_label,p-mitte_label,p-glp_label,p-gps_label,zh-japroz,be-japroz,lu-japroz,ur-japroz,sz-japroz,ow-japroz,nw-japroz,gl-japroz,zg-japroz,fr-japroz,so-japroz,bs-japroz,bl-japroz,sh-japroz,ar-japroz,ai-japroz,sg-japroz,gr-japroz,ag-japroz,tg-japroz,ti-japroz,vd-japroz,vs-japroz,ne-japroz,ge-japroz,ju-japroz,anneepolitique,curiavista-de,swissvoteslink,zustimmung_br-pos,zustimmung_sr-pos,zustimmung_nr-pos,zustimmung_bv-pos,zustimmung_p-fdp,zustimmung_p-sps,zustimmung_p-svp,zustimmung_p-mitte,zustimmung_p-glp,zustimmung_p-gps
1.0,1848,1848-1851,1840,1845,Bundesverfassung der schweizerischen Eidgenossenschaft,Obligatorisches Referendum,1,1,,1.0,,,199904.0,,72.83,0,Staatsordnung,Politisches System,Bundesverfassung,Keine Empfehlung,Keine Empfehlung,Keine Empfehlung,Keine Empfehlung,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://swissvotes.ch/vote/1.00,,,,,,,,,,
2.0,1866,1863-1866,1860,1865,Mass und Gewicht,Obligatorisches Referendum,1,9,,0.0,,,315578.0,,50.44,0,Staatsordnung,Föderalismus,Beziehungen Bund–Kantone,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,91.4,39.72,19.64,13.53,24.6,58.54,10.08,30.85,12.21,58.26,70.01,66.66,63.27,40.33,24.85,1.04,26.58,5.62,46.78,84.56,88.62,66.56,48.18,89.41,87.64,,,,https://swissvotes.ch/vote/2.00,,0.004399999999999977,0.004399999999999977,0.004399999999999977,,,,,,
3.0,1866,1863-1866,1860,1865,Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung,Obligatorisches Referendum,1,9,,1.0,,,319433.0,,53.23,0,"Kultur, Religion & Medien","Religion, Kirchen",,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,93.68,40.8,19.4,6.05,22.27,53.27,5.85,67.74,17.06,56.79,68.92,57.93,61.91,53.3,44.23,2.03,29.87,10.35,63.32,85.27,84.51,62.7,37.89,85.41,85.95,,,,https://swissvotes.ch/vote/3.00,,0.03229999999999997,0.03229999999999997,0.03229999999999997,,,,,,
4.0,1866,1863-1866,1860,1865,Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten,Obligatorisches Referendum,1,9,,0.0,,,318762.0,,43.08,0,Staatsordnung,Volksrechte,Stimmrecht,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,92.79,38.76,19.28,5.88,20.47,61.52,5.94,55.78,16.02,20.44,68.01,30.62,59.78,46.42,46.01,2.74,27.99,9.89,60.67,84.98,63.39,10.65,15.91,71.95,37.97,,,,https://swissvotes.ch/vote/4.00,,-0.06920000000000001,-0.06920000000000001,-0.06920000000000001,,,,,,
5.0,1866,1863-1866,1860,1865,Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen,Obligatorisches Referendum,1,9,,0.0,,,315754.0,,39.88,0,Öffentliche Finanzen,Steuerwesen,Steuersystem,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,93.2,37.48,15.95,5.98,15.64,21.61,4.44,64.3,13.54,19.4,69.54,51.97,58.13,46.67,3.48,0.43,24.29,10.45,50.71,81.12,59.32,6.79,13.13,74.7,58.28,,,,https://swissvotes.ch/vote/5.00,,-0.10119999999999997,-0.10119999999999997,-0.10119999999999997,,,,,,
6.0,1866,1863-1866,1860,1865,Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten,Obligatorisches Referendum,1,9,,0.0,,,319148.0,,48.09,0,Staatsordnung,Volksrechte,Stimmrecht,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,95.12,40.83,20.32,6.72,23.46,69.43,8.08,68.92,16.75,48.25,71.18,24.69,62.45,56.44,47.78,2.47,29.14,11.17,63.81,86.95,83.42,12.7,38.86,77.64,52.7,,,,https://swissvotes.ch/vote/6.00,,-0.019099999999999964,-0.019099999999999964,-0.019099999999999964,,,,,,
7.0,1866,1863-1866,1860,1865,Glaubens- und Kultusfreiheit,Obligatorisches Referendum,1,9,,0.0,,,320621.0,,49.16,0,"Kultur, Religion & Medien","Religion, Kirchen",,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,91.31,40.04,18.77,3.7,15.98,48.89,5.21,50.77,13.99,56.3,69.76,61.04,60.89,39.15,8.7,0.73,23.6,10.02,60.74,80.69,77.44,56.39,36.73,88.01,84.44,,,,https://swissvotes.ch/vote/7.00,,-0.008400000000000034,-0.008400000000000034,-0.008400000000000034,,,,,,
8.0,1866,1863-1866,1860,1865,Ausschliessung einzelner Strafarten,Obligatorisches Referendum,1,9,,0.0,,,316983.0,,34.19,0,Staatsordnung,Rechtsordnung,Strafrecht,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,84.97,35.86,12.79,3.27,8.1,21.85,1.85,11.79,9.28,20.53,68.28,34.17,56.89,32.98,0.63,0.35,19.09,3.99,32.37,71.76,62.46,8.84,14.65,80.56,54.84,,,,https://swissvotes.ch/vote/8.00,,-0.15810000000000002,-0.15810000000000002,-0.15810000000000002,,,,,,
9.0,1866,1863-1866,1860,1865,Schutz des geistigen Eigentums,Obligatorisches Referendum,1,9,,0.0,,,314862.0,,43.66,0,Wirtschaft,Wirtschaftspolitik,Wettbewerbspolitik,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,92.94,37.19,19.2,16.21,27.27,71.37,15.68,65.48,14.09,46.5,71.46,53.97,58.82,47.0,40.38,1.59,20.22,8.12,56.15,77.73,78.45,10.89,13.29,80.76,69.05,,,,https://swissvotes.ch/vote/9.00,,-0.06340000000000004,-0.06340000000000004,-0.06340000000000004,,,,,,
10.0,1866,1863-1866,1860,1865,Verbot der Lotterie und Hasardspiele,Obligatorisches Referendum,1,9,,0.0,,,315850.0,,44.03,0,Wirtschaft,Wirtschaftspolitik,Strukturpolitik,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,92.71,38.59,21.76,10.76,23.06,73.74,20.64,78.66,15.27,21.27,71.58,53.54,58.44,48.2,41.51,4.79,26.32,11.04,57.39,77.27,66.86,14.19,14.91,83.44,75.71,,,,https://swissvotes.ch/vote/10.00,,-0.05969999999999999,-0.05969999999999999,-0.05969999999999999,,,,,,
11.0,1872,1869-1872,1870,1870,Bundesverfassung (Totalrevision),Obligatorisches Referendum,1,1,,0.0,,,516468.0,,49.49,0,Staatsordnung,Politisches System,Bundesverfassung,,Befürwortend,Befürwortend,Befürwortend,.,.,.,.,,,,,,,81.3,69.34,34.53,3.64,15.44,6.88,12.52,74.32,29.19,21.46,61.7,81.33,83.66,93.47,37.37,7.18,50.03,42.81,62.02,83.45,45.96,6.06,13.36,46.75,36.48,,,,https://swissvotes.ch/vote/11.00,,-0.00509999999999998,-0.00509999999999998,-0.00509999999999998,,,,,,
12.0,1874,1872-1875,1870,1870,Bundesverfassung (Totalrevision),Obligatorisches Referendum,1,1,,1.0,,,538212.0,,63.21,0,Staatsordnung,Politisches System,Bundesverfassung,,Befürwortend,Befürwortend,Befürwortend,,.,.,.,,,,,,,94.62,77.66,38.27,7.91,17.61,16.68,18.93,75.88,39.61,20.67,65.14,86.43,86.61,96.79,82.85,14.3,56.72,52.81,65.13,82.9,33.3,60.15,15.52,92.87,77.39,,,,https://swissvotes.ch/vote/12.00,,0.1321,0.1321,0.1321,,,,,,
13.0,1875,1872-1875,1870,1875,Gesetz betreffend Feststellung und Beurkundung des Zivilstandes und die Ehe,Fakultatives Referendum,2,2,,1.0,,,418268.0,,50.97,.,Staatsordnung,Rechtsordnung,Privatrecht,Befürwortend,Befürwortend,Befürwortend,Befürwortend,20,14,60,17,,,,,,,76.22,60.87,34.55,6.35,18.74,10.48,11.69,66.15,35.05,17.1,48.66,79.1,62.48,78.72,72.38,12.88,49.15,42.25,51.42,70.91,34.64,35.2,11.13,71.45,72.76,,,,https://swissvotes.ch/vote/13.00,0.009699999999999988,0.009699999999999988,0.009699999999999988,0.009699999999999988,,,,,,
14.0,1875,1872-1875,1870,1875,Gesetz über die politische Stimmberechtigung der Schweizerbürger,Fakultatives Referendum,2,2,,0.0,,,409846.0,,49.43,.,Staatsordnung,Volksrechte,Stimmrecht,Befürwortend,Befürwortend,Befürwortend,Befürwortend,18,17,60,19,,,,,,,74.16,55.07,34.36,7.35,18.22,10.98,11.32,53.13,33.17,17.4,42.36,69.0,60.39,76.32,73.01,14.51,48.04,47.03,49.08,72.02,34.58,40.17,12.39,69.59,69.94,,,,https://swissvotes.ch/vote/14.00,-0.005700000000000003,-0.005700000000000003,-0.005700000000000003,-0.005700000000000003,,,,,,
15.0,1876,1875-1878,1870,1875,Banknotengesetz,Fakultatives Referendum,2,1,,0.0,,,313321.0,,38.32,.,Wirtschaft,Finanzwesen,Geld- und Währungspolitik,Befürwortend,Befürwortend,Befürwortend,Befürwortend,19,13,66,31,,,,,,,70.31,16.92,11.03,11.16,61.87,39.86,17.41,59.58,45.77,63.87,24.0,67.08,57.09,38.02,53.66,31.68,19.76,9.39,45.6,49.98,33.61,51.38,40.17,17.34,8.55,,,,https://swissvotes.ch/vote/15.00,-0.1168,-0.1168,-0.1168,-0.1168,,,,,,
16.0,1876,1875-1878,1870,1875,Gesetz betreffend die Militärpflichtersatzsteuer,Fakultatives Referendum,2,1,,0.0,,,341051.0,,45.79,.,Sicherheitspolitik,Armee,Armee (allgemein),Befürwortend,Befürwortend,Befürwortend,Befürwortend,22,10,38,27,,,,,,,71.73,43.89,33.1,6.75,50.13,25.05,27.08,63.22,33.82,15.29,62.6,55.96,74.93,88.66,27.68,14.66,33.04,43.44,58.44,68.32,18.34,42.4,12.38,39.91,3.1,,,,https://swissvotes.ch/vote/16.00,-0.042100000000000005,-0.042100000000000005,-0.042100000000000005,-0.042100000000000005,,,,,,
17.0,1877,1875-1878,1870,1875,Fabrikgesetz,Fakultatives Referendum,2,3,,1.0,,,352061.0,,51.47,.,Wirtschaft,Arbeit und Beschäftigung,Arbeitsbedingungen,Befürwortend,Befürwortend,Befürwortend,Befürwortend,21,16,90,15,,,,,,,49.95,54.18,59.81,70.34,75.1,86.61,83.39,66.78,77.0,18.5,54.16,63.36,58.95,72.97,28.04,21.0,49.14,78.52,66.87,57.51,20.63,29.05,31.87,62.9,43.28,,,,https://swissvotes.ch/vote/17.00,0.014699999999999989,0.014699999999999989,0.014699999999999989,0.014699999999999989,,,,,,
18.0,1877,1875-1878,1870,1875,Gesetz betreffend den Militärpflichtersatz,Fakultatives Referendum,2,3,,0.0,,,351606.0,,48.41,.,Sicherheitspolitik,Armee,Armee (allgemein),Befürwortend,Befürwortend,Befürwortend,Befürwortend,29,12,46,18,,,,,,,73.08,48.11,33.4,6.69,35.72,14.22,12.17,72.62,34.39,17.58,58.7,67.46,73.71,75.06,49.69,11.51,36.52,48.65,65.58,67.01,15.71,37.66,17.3,54.4,12.29,,,,https://swissvotes.ch/vote/18.00,-0.015900000000000036,-0.015900000000000036,-0.015900000000000036,-0.015900000000000036,,,,,,
