anr,datum,legisjahr,rechtsform_name,titel_kurz_d,anzahl,hauptgruppe,untergruppe,kleinstgruppe,br-pos,sr-pos,nr-pos,bv-pos,srja,srnein,nrja,nrnein,sammeltempo,p-fdp,p-sps,p-svp,p-mitte,p-evp,p-gps,p-glp,p-ucsp,p-pda,p-sd,p-edu,p-fps,p-lega,p-kvp,p-mcg,p-cvp,p-bdp,p-lps,p-ldu,p-poch,p-rep,p-eco,p-sgv,p-sbv,p-sgb,p-travs,p-sav,p-vsa,p-vpod,p-voev,p-tcs,p-vcs,p-acs,p-sbk,p-ssv,p-gem,p-kdk,p-kkjpd,p-gdk,p-ldk,p-vdk,p-sodk,p-endk,p-fdk,p-edk,p-bpuk,anneepolitique,curiavista-de,swissvoteslink
1.0,1848-09-12,1848-1851,Obligatorisches Referendum,Bundesverfassung der schweizerischen Eidgenossenschaft,1,Staatsordnung,Politisches System,Bundesverfassung,3.0,3,3,3,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/1.00
2.0,1866-01-14,1863-1866,Obligatorisches Referendum,Mass und Gewicht,9,Staatsordnung,Föderalismus,Beziehungen Bund–Kantone,,1,1,1,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/2.00
3.0,1866-01-14,1863-1866,Obligatorisches Referendum,Gleichstellung der Juden und Naturalisierten mit Bezug auf Niederlassung,9,"Kultur, Religion & Medien","Religion, Kirchen",,,1,1,1,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/3.00
4.0,1866-01-14,1863-1866,Obligatorisches Referendum,Stimmrecht der Niedergelassenen in Gemeindeangelegenheiten,9,Staatsordnung,Volksrechte,Stimmrecht,,1,1,1,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/4.00
5.0,1866-01-14,1863-1866,Obligatorisches Referendum,Besteuerung und zivilrechtliche Verhältnisse der Niedergelassenen,9,Öffentliche Finanzen,Steuerwesen,Steuersystem,,1,1,1,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/5.00
6.0,1866-01-14,1863-1866,Obligatorisches Referendum,Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten,9,Staatsordnung,Volksrechte,Stimmrecht,,1,1,1,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/6.00
7.0,1866-01-14,1863-1866,Obligatorisches Referendum,Glaubens- und Kultusfreiheit,9,"Kultur, Religion & Medien","Religion, Kirchen",,,1,1,1,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/7.00
8.0,1866-01-14,1863-1866,Obligatorisches Referendum,Ausschliessung einzelner Strafarten,9,Staatsordnung,Rechtsordnung,Strafrecht,,1,1,1,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/8.00
9.0,1866-01-14,1863-1866,Obligatorisches Referendum,Schutz des geistigen Eigentums,9,Wirtschaft,Wirtschaftspolitik,Wettbewerbspolitik,,1,1,1,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/9.00
10.0,1866-01-14,1863-1866,Obligatorisches Referendum,Verbot der Lotterie und Hasardspiele,9,Wirtschaft,Wirtschaftspolitik,Strukturpolitik,,1,1,1,.,.,.,.,0,9999,9999,9999,,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,https://swissvotes.ch/vote/10.00
